name	term	lev	seq	value
"internal peptidyl-lysine acetylation"	GO:0016573;GO:0018393;GO:0006475;GO:0018394;GO:0006473	5	SPU_005265	-3.69122517035482
"internal peptidyl-lysine acetylation"	GO:0016573;GO:0018393;GO:0006475;GO:0018394;GO:0006473	5	SPU_006666	8.08316245351398
"internal peptidyl-lysine acetylation"	GO:0016573;GO:0018393;GO:0006475;GO:0018394;GO:0006473	5	SPU_011676	-0.646126056722827
"internal peptidyl-lysine acetylation"	GO:0016573;GO:0018393;GO:0006475;GO:0018394;GO:0006473	5	SPU_026147	-0.262465238096948
"internal peptidyl-lysine acetylation"	GO:0016573;GO:0018393;GO:0006475;GO:0018394;GO:0006473	5	SPU_028722	1.31446882368517
"internal peptidyl-lysine acetylation"	GO:0016573;GO:0018393;GO:0006475;GO:0018394;GO:0006473	5	SPU_020367	-0.665570467146624
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_003443	-0.569377454153722
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_004376	-0.258507158158007
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_005285	0.379006274844338
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_008984	-2.84134615901129
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_010209	10.776980086129
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_016587	-13.6749359464411
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_017016	-0.459896736412728
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_018890	-1.24686055712278
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_021792	-1.37800356722669
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_021979	0.278032568731416
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_023099	0.144470203541664
"folic acid-containing compound metabolic process"	GO:0009396;GO:0006760	4	SPU_024668	-3.95978671704861
