"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1132 0.0204874608534399 2 14 "GO:0000041" "transition metal ion transport
" 0.116809105164389
1162 0.0564224029053718 4 9 "GO:0000077;GO:0031570;GO:0000075" "cell cycle checkpoint
" 0.207243826056269
484 0.225401858978201 2 21 "GO:0000079;GO:0071900;GO:1904029;GO:0045859;GO:0043549;GO:0051338" "regulation of kinase activity
" 0.48364621116953
148 0.770960123215271 2 13 "GO:0000096" "sulfur amino acid metabolic process
" 0.876508235322124
496 0.506189787331037 2 6 "GO:0000154" "rRNA modification
" 0.743709610617139
794 0.0157544105750028 2 31 "GO:0000226" "microtubule cytoskeleton organization
" 0.0970674974137269
624 0.0618443014663746 9 30 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing
" 0.20924040538675
1015 0.0185283852814545 5 18 "GO:0000723;GO:0032200;GO:0060249" "telomere maintenance
" 0.107240048144176
49 0.935511076892514 7 9 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination
" 0.980739126123302
197 0.809705469426652 3 5 "GO:0000902" "cell morphogenesis
" 0.909727909767591
419 0.608316297047964 3 5 "GO:0000910" "cytokinesis
" 0.78771805244855
403 0.58935900048867 2 6 "GO:0000956;GO:0006402" "mRNA catabolic process
" 0.776328062712662
924 0.0502961280462975 3 15 "GO:0001510" "RNA methylation
" 0.192131209136856
1023 0.021110093347238 2 17 "GO:0001522" "pseudouridine synthesis
" 0.117249602381859
-487 0.514234645110851 3 6 "GO:0001558;GO:0040008" "regulation of cell growth
" 0.752634614683314
584 0.0859763411566622 7 29 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process
" 0.263675364790613
17 0.952932241285762 1 41 "GO:0002376" "immune system process
" 0.983838151813949
-289 0.284979703998539 5 46 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656" "anion transmembrane transport
" 0.544311234637209
246 0.721874703240108 2 7 "GO:0003341" "cilium movement
" 0.855764128965836
-250 0.0420603484683646 2 228 "GO:0005975" "carbohydrate metabolic process
" 0.172406059708551
-942 0.121900327498105 4 9 "GO:0005977;GO:0006073;GO:0006112;GO:0044042;GO:0015980" "cellular glucan metabolic process
" 0.332613750744829
618 0.449368088773092 5 5 "GO:0006004" "fucose metabolic process
" 0.700647387393147
-634 0.29791677640349 2 9 "GO:0006006" "glucose metabolic process
" 0.54451429289102
-5 0.993004951209431 2 9 "GO:0006013" "mannose metabolic process
" 0.994863159400025
-310 0.378752884150608 2 27 "GO:0006022" "aminoglycan metabolic process
" 0.632813138868251
-1698 0.0377015451081063 2 5 "GO:0006024;GO:0006023" "glycosaminoglycan biosynthetic process
" 0.160022113681073
-538 0.211826262338537 2 18 "GO:0006030;GO:1901071;GO:0006040" "amino sugar metabolic process
" 0.475986071843065
-156 0.629840044723359 2 32 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process
" 0.804678585566298
622 0.281600757074564 3 10 "GO:0006071;GO:0019400" "alditol metabolic process
" 0.544311234637209
-1257 0.123827551066981 2 5 "GO:0006081" "cellular aldehyde metabolic process
" 0.333113552870329
382 0.152732791866573 2 47 "GO:0006091" "generation of precursor metabolites and energy
" 0.388959509953539
-255 0.754784118283479 6 5 "GO:0006094" "gluconeogenesis
" 0.872082789786557
-20 0.964361301657476 2 17 "GO:0006096;GO:0006090;GO:0006757;GO:0046031;GO:0009179;GO:0009135;GO:0009185" "pyruvate metabolic process
" 0.989855268552163
345 0.550347119044276 3 10 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process
" 0.755316732716591
535 0.273374797555037 3 14 "GO:0006099" "tricarboxylic acid cycle
" 0.532801901357266
874 0.284715545267979 4 5 "GO:0006108" "malate metabolic process
" 0.544311234637209
-1317 0.0773948378875215 2 6 "GO:0006144" "purine nucleobase metabolic process
" 0.244337422091184
-530 0.384326304234121 6 9 "GO:0006182;GO:0046068;GO:0052652" "cGMP biosynthetic process
" 0.632813138868251
713 0.21756200320945 5 10 "GO:0006183;GO:0046039;GO:1901070;GO:1901068;GO:0006228;GO:0009209;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0006241;GO:0046036" "guanosine-containing compound biosynthetic process
" 0.480397024427803
-277 0.083246179613152 -1 133 "GO:0006184" "obsolete GTP catabolic process
" 0.260656070592001
266 0.721390831020429 4 6 "GO:0006206" "pyrimidine nucleobase metabolic process
" 0.855764128965836
542 7.30806687535341e-13 4 652 "GO:0006259" "DNA metabolic process
" 6.97920386596251e-11
177 0.422481531716895 3 69 "GO:0006260" "DNA replication
" 0.675263368685581
47 0.928707745184804 3 12 "GO:0006265" "DNA topological change
" 0.980739126123302
-62 0.939661047542221 2 5 "GO:0006269" "DNA replication, synthesis of RNA primer
" 0.980739126123302
780 0.25900668078517 2 7 "GO:0006270" "DNA replication initiation
" 0.5234949844441
443 1.70001383799295e-05 3 332 "GO:0006278;GO:0071897" "DNA biosynthetic process
" 0.000590368441921188
624 5.30125296448704e-05 2 143 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus
" 0.00126567414527128
-345 0.593497988173944 3 8 "GO:0006284" "base-excision repair
" 0.77909357897748
1133 0.0164245282293026 6 15 "GO:0006289" "nucleotide-excision repair
" 0.099549886536783
646 0.157643789270797 3 16 "GO:0006298" "mismatch repair
" 0.393884047647589
740 0.117135261939243 3 15 "GO:0006302" "double-strand break repair
" 0.321911295401373
904 4.89174737656318e-05 2 68 "GO:0006310" "DNA recombination
" 0.00124576499856476
864 2.09197795496222e-05 2 82 "GO:0006325" "chromatin organization
" 0.000665946315662973
794 0.000806861478252048 2 60 "GO:0006334;GO:0034728;GO:0065004;GO:0071824" "protein-DNA complex assembly
" 0.0102740361564094
710 0.271925751309384 2 8 "GO:0006338" "chromatin remodeling
" 0.532695574359921
468 0.0183420429083893 6 86 "GO:0006351;GO:0097659" "nucleic acid-templated transcription
" 0.107240048144176
870 0.0256598867231358 2 22 "GO:0006352" "DNA-templated transcription, initiation
" 0.122416384371481
136 0.131450598518019 6 440 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:2001141;GO:0010556;GO:0031326;GO:0019222;GO:0051252;GO:0009889;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process
" 0.346304335406091
353 0.29866530100681 7 29 "GO:0006357" "regulation of transcription by RNA polymerase II
" 0.54451429289102
1885 7.734573841891e-07 8 23 "GO:0006364;GO:0016072" "rRNA metabolic process
" 3.42296181851199e-05
-172 0.83333233840878 2 5 "GO:0006366" "transcription by RNA polymerase II
" 0.928084411872169
1148 0.0595136183825985 3 9 "GO:0006367" "transcription initiation from RNA polymerase II promoter
" 0.20924040538675
1359 0.0961934434652464 2 5 "GO:0006388;GO:0000394" "tRNA splicing, via endonucleolytic cleavage and ligation
" 0.278377995482759
880 3.44838167959302e-09 2 154 "GO:0006396" "RNA processing
" 2.63456360320907e-07
827 0.0012733067241528 7 51 "GO:0006397;GO:0016071" "mRNA metabolic process
" 0.0142016371771098
361 0.0334077174397745 7 118 "GO:0006399;GO:0034660" "ncRNA metabolic process
" 0.150138212494045
373 0.540864890336198 3 9 "GO:0006400" "tRNA modification
" 0.755316732716591
344 0.552083652445344 2 10 "GO:0006401;GO:0010629" "RNA catabolic process
" 0.755316732716591
1374 0.0655012797821208 4 6 "GO:0006405;GO:0051168" "RNA export from nucleus
" 0.214093257442491
1611 8.3136783253955e-31 3 176 "GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "cellular amide metabolic process
" 3.17582512030108e-28
850 0.0553678044024341 2 17 "GO:0006413" "translational initiation
" 0.205344672638154
351 0.523915683386829 4 11 "GO:0006414" "translational elongation
" 0.753491304336748
-295 0.648460748147253 5 8 "GO:0006415;GO:0043624;GO:0032984;GO:0022411" "protein-containing complex disassembly
" 0.814842124316614
-691 0.316936874044677 3 7 "GO:0006417;GO:0010608;GO:0034248" "regulation of translation
" 0.562381280456786
-302 0.213423902678927 6 57 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation
" 0.476771525282749
92 0.910279155926917 2 5 "GO:0006419" "alanyl-tRNA aminoacylation
" 0.96859787622307
-905 0.268284529077842 2 5 "GO:0006420" "arginyl-tRNA aminoacylation
" 0.5310087570349
30 0.89577400641851 2 66 "GO:0006457" "protein folding
" 0.962194201642749
-272 0.00021182035725393 4 694 "GO:0006464;GO:0036211" "cellular protein modification process
" 0.00356891295900925
-301 0.00137567780189232 5 403 "GO:0006468;GO:0016310" "phosphorylation
" 0.0145160855126944
-27 0.882000857282242 5 106 "GO:0006470;GO:0016311" "dephosphorylation
