"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
95 0.460963963868668 4 14 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.763767500663765
-87 0.422706739507606 3 20 "GO:0000139" "Golgi membrane" 0.763767500663765
-81 0.613002889757274 2 9 "GO:0000145" "exocyst" 0.842726098986079
-102 0.146483773016056 2 48 "GO:0000151" "ubiquitin ligase complex" 0.380857809841746
-44 0.794539516610802 3 8 "GO:0000159;GO:0008287;GO:1903293" "phosphatase complex" 0.913594759314817
98 0.648250845373907 3 5 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.842726098986079
635 0.000488407671557038 2 7 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 0.00519488159747031
123 0.566936295718334 2 5 "GO:0000439" "transcription factor TFIIH core complex" 0.81890798270426
37 0.849303274855775 3 6 "GO:0000775;GO:0098687" "chromosome, centromeric region" 0.946375869732412
-25 0.890413669860501 2 7 "GO:0000776" "kinetochore" 0.952908700869019
154 0.0176460792770843 3 57 "GO:0000786;GO:0032993;GO:0044815" "DNA packaging complex" 0.0794073567468793
-96 0.624658616227679 3 6 "GO:0000796" "condensin complex" 0.842726098986079
113 0.458051879862245 2 10 "GO:0000922" "spindle pole" 0.763767500663765
-111 0.0410109149129207 2 83 "GO:0005576" "extracellular region" 0.145402334691264
500 0.0033635334141903 2 8 "GO:0005581" "collagen trimer" 0.0231490240858979
-195 0.0482926652166872 2 24 "GO:0005615" "extracellular space" 0.166183583245659
-92 0.434568327513164 2 17 "GO:0005643" "nuclear pore" 0.763767500663765
-58 0.468634469057771 2 37 "GO:0005667" "transcription regulator complex" 0.763767500663765
12 0.934004988694847 2 12 "GO:0005680;GO:0000152" "anaphase-promoting complex" 0.952908700869019
-68 0.553273102687707 2 18 "GO:0005681" "spliceosomal complex" 0.811048812873223
-42 0.742668059492032 3 14 "GO:0005694" "chromosome" 0.886654724087426
529 0.00193281961848349 5 8 "GO:0005730" "nucleolus" 0.0161528496687549
-79 0.0225301822676173 2 220 "GO:0005737" "cytoplasm" 0.0933811235834764
192 0.00963679120553412 5 43 "GO:0005739" "mitochondrion" 0.0490219378716301
-60 0.693138294131267 3 10 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.872012692616755
-15 0.936619663247326 2 7 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 0.952908700869019
-180 0.322340476787993 2 7 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 0.6734613532892
77 0.598663307973579 3 11 "GO:0005777;GO:0042579" "microbody" 0.842726098986079
-83 0.628642895929561 5 8 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 0.842726098986079
-235 0.0231457485805198 2 22 "GO:0005783" "endoplasmic reticulum" 0.0933811235834764
97 0.452863324707541 2 14 "GO:0005789" "endoplasmic reticulum membrane" 0.763767500663765
-139 0.116591910431263 2 30 "GO:0005794" "Golgi apparatus" 0.33271350049897
111 0.356575460846849 2 16 "GO:0005813" "centrosome" 0.715527775372745
131 0.185265885798581 2 24 "GO:0005815" "microtubule organizing center" 0.442369564049673
-129 0.511349886260644 3 6 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" 0.811048812873223
186 0.0851524514287473 2 20 "GO:0005839" "proteasome core complex" 0.255457354286242
514 2.28334244794291e-30 2 124 "GO:0005840" "ribosome" 2.6715106640932e-28
103 0.366937320703972 2 18 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.715527775372745
-201 0.00146185987464376 5 60 "GO:0005856" "cytoskeleton" 0.0131567388717938
14 0.924623306121253 2 10 "GO:0005858" "axonemal dynein complex" 0.952908700869019
-90 0.676611707178447 2 5 "GO:0005869" "dynactin complex" 0.866684435948015
-14 0.80149627437025 2 80 "GO:0005871" "kinesin complex" 0.913594759314817
20 0.732461022460851 4 73 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular complex" 0.883483913689892
32 0.44911058872553 2 139 "GO:0005875" "microtubule associated complex" 0.763767500663765
39 0.857400360612271 4 5 "GO:0005876" "spindle microtubule" 0.946375869732412
-359 0.000287574970971561 2 24 "GO:0005886" "plasma membrane" 0.00336462716036726
-358 0.00302996722900103 3 16 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.02215663536207
-162 0.265702283926375 5 11 "GO:0008021;GO:0070382;GO:0030133;GO:0099503" "transport vesicle" 0.597830138834344
-72 0.71437436717211 6 6 "GO:0008076;GO:0034705" "potassium channel complex" 0.883483913689892
-393 0.00699639023374383 3 11 "GO:0008305;GO:0098636;GO:0098802;GO:0043235" "receptor complex" 0.0372080753340013
-80 0.551851832937908 2 13 "GO:0015629" "actin cytoskeleton" 0.811048812873223
506 0.0100584077356305 2 6 "GO:0015934" "large ribosomal subunit" 0.0490347377111987
479 0.000209313396322033 4 14 "GO:0015935" "small ribosomal subunit" 0.00272107415218643
33 0.856302177582632 2 7 "GO:0016272" "prefoldin complex" 0.946375869732412
-350 9.38214652531247e-06 2 38 "GO:0016459" "myosin complex" 0.000219542228692312
163 0.132917379955001 2 20 "GO:0016592" "mediator complex" 0.353439396698525
