"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
332 0.621183455800669 4 6 "GO:0000049" "tRNA binding
" 0.786884381210192
-291 0.242981347827452 5 44 "GO:0000287" "magnesium ion binding
" 0.522314235881058
-581 0.221660212580406 3 12 "GO:0000976;GO:0001067;GO:1990837" "sequence-specific double-stranded DNA binding
" 0.490842171928799
-227 0.696247507387905 3 8 "GO:0001614;GO:0016502" "nucleotide receptor activity
" 0.852356813977121
-114 0.739986050484481 3 23 "GO:0001733;GO:0050694" "galactosylceramide sulfotransferase activity
" 0.878331268618536
-271 0.641280781466272 2 8 "GO:0002161" "aminoacyl-tRNA editing activity
" 0.795771151546783
370 3.06222199589637e-07 3 576 "GO:0003677" "DNA binding
" 1.67197320975942e-05
302 0.477406556002006 2 15 "GO:0003678" "DNA helicase activity
" 0.704497242100258
1462 0.00322660655626079 2 11 "GO:0003682" "chromatin binding
" 0.030469871594718
684 0.0868246238005612 2 17 "GO:0003684" "damaged DNA binding
" 0.308011629986203
-563 0.185361453104954 2 15 "GO:0003690" "double-stranded DNA binding
" 0.451818541943325
-299 0.585548575958851 4 9 "GO:0003697" "single-stranded DNA binding
" 0.776406381454192
-60 0.560879056042308 2 265 "GO:0003700;GO:0140110" "transcription regulator activity
" 0.756308641888312
42 0.877301207538232 2 36 "GO:0003707" "steroid hormone receptor activity
" 0.977346417128745
461 0.332334004518513 2 12 "GO:0003712" "transcription coregulator activity
" 0.600079408918994
597 0.337191297841811 2 7 "GO:0003713" "transcription coactivator activity
" 0.601655060854996
528 4.45609248294242e-12 3 510 "GO:0003723" "RNA binding
" 4.0550441594776e-10
1863 1.28843788527134e-37 2 131 "GO:0003735" "structural constituent of ribosome
" 3.51743542679076e-35
294 0.402219047394984 2 22 "GO:0003743" "translation initiation factor activity
" 0.655784113553371
-564 0.332257608424179 3 8 "GO:0003746" "translation elongation factor activity
" 0.600079408918994
13 0.920288493245721 5 162 "GO:0003777;GO:0003774" "motor activity
" 0.977346417128745
-438 0.0750143622553941 2 45 "GO:0003779" "actin binding
" 0.288435505573558
107 0.884268759275581 3 5 "GO:0003854;GO:0033764;GO:0016229" "steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
" 0.977346417128745
350 0.547681092179244 2 8 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity
" 0.752945846193649
76 0.845259963707837 2 18 "GO:0003887" "DNA-directed DNA polymerase activity
" 0.960935300273218
252 0.394428182846327 4 31 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity
" 0.648668035644863
30 0.950326436054956 3 12 "GO:0003916" "DNA topoisomerase activity
" 0.977346417128745
-49 0.946637123258657 2 5 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity
" 0.977346417128745
-184 0.737679247602995 2 9 "GO:0003918;GO:0008094" "DNA-dependent ATPase activity
" 0.878331268618536
-298 0.0452575581990198 5 125 "GO:0003924" "GTPase activity
" 0.202546121120203
577 0.321220835250489 2 8 "GO:0003951" "NAD+ kinase activity
" 0.596552979750908
354 0.0120722911327937 2 139 "GO:0003964;GO:0034061" "DNA polymerase activity
" 0.0766450111454112
-627 0.393835549910761 6 5 "GO:0003993" "acid phosphatase activity
" 0.648668035644863
900 0.0145224642350447 4 20 "GO:0003995" "acyl-CoA dehydrogenase activity
" 0.0861876681775479
722 0.32654268969684 2 5 "GO:0004017" "adenylate kinase activity
" 0.600079408918994
-274 0.709745256049597 2 5 "GO:0004047" "aminomethyltransferase activity
" 0.861157577340178
-826 0.261847041697431 2 5 "GO:0004075" "biotin carboxylase activity
" 0.545681239567929
-543 0.20195463305198 5 15 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity
" 0.477572621112212
811 0.163426784517993 4 8 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
" 0.415907041703954
-48 0.661327859346745 4 230 "GO:0004175" "endopeptidase activity
" 0.813254529737213
1020 0.128816266170818 2 6 "GO:0004176" "ATP-dependent peptidase activity
" 0.367587689417888
265 0.561909433021647 3 13 "GO:0004177" "aminopeptidase activity
" 0.756308641888312
301 0.370353322376273 4 24 "GO:0004181;GO:0004180;GO:0008235" "metalloexopeptidase activity
" 0.627990416203245
512 0.0836390072664584 2 31 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity
" 0.304445986449909
74 0.802818018001693 2 31 "GO:0004197;GO:0008234" "cysteine-type peptidase activity
" 0.924765058710811
-335 0.5409138765549 2 9 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity
" 0.752945846193649
-247 0.131992381104331 2 102 "GO:0004222" "metalloendopeptidase activity
" 0.367587689417888
-344 0.11287864457378 3 58 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity
" 0.346545175304052
856 0.0202096967688147 2 20 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity
" 0.112596881997682
-1023 0.127632199698458 5 6 "GO:0004326" "tetrahydrofolylpolyglutamate synthase activity
" 0.367587689417888
-582 0.220797635891908 3 12 "GO:0004383;GO:0009975;GO:0016849" "phosphorus-oxygen lyase activity
" 0.490842171928799
612 2.06932693233661e-05 2 134 "GO:0004386" "helicase activity
" 0.000564926252527895
446 0.443266175755697 7 8 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity
" 0.685465537452744
-912 0.215234260331124 3 5 "GO:0004448" "isocitrate dehydrogenase activity
" 0.490842171928799
-421 0.131518240828449 3 35 "GO:0004497" "monooxygenase activity
" 0.367587689417888
-350 0.443526499370208 2 13 "GO:0004499" "N,N-dimethylaniline monooxygenase activity
" 0.685465537452744
347 0.150069341731795 2 47 "GO:0004518" "nuclease activity
" 0.401300138015364
647 0.0653339385604258 2 22 "GO:0004519" "endonuclease activity
" 0.270244927681761
964 0.151406279177958 2 6 "GO:0004521" "endoribonuclease activity
" 0.401300138015364
158 0.773295717080368 3 9 "GO:0004527" "exonuclease activity
" 0.909955736047157
-498 0.45834720369514 3 6 "GO:0004536" "deoxyribonuclease activity
" 0.685465537452744
908 0.067308903396487 3 11 "GO:0004540" "ribonuclease activity
" 0.274258666078223
608 0.295979325805546 2 8 "GO:0004550" "nucleoside diphosphate kinase activity
" 0.573066354219249
-35 0.888582979473793 4 43 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds
" 0.977346417128745
-103 0.785130461744241 2 19 "GO:0004559;GO:0015923" "mannosidase activity
" 0.915985538701614
-493 0.321029682215293 3 11 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide mannosidase activity
" 0.596552979750908
-1023 0.0998571574227423 4 7 "GO:0004576" "oligosaccharyl transferase activity
" 0.329489398191309
555 0.408508689758022 2 6 "GO:0004591;GO:0016624" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
" 0.655784113553371
-589 0.257951930827483 3 10 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor
" 0.541699054737714
280 0.447078147786235 2 20 "GO:0004620;GO:0016298" "lipase activity
" 0.685465537452744
554 0.341021248745941 2 8 "GO:0004623" "phospholipase A2 activity
" 0.604537668231441
-269 0.00118464906311827 2 423 "GO:0004672;GO:0016301;GO:0016773" "kinase activity
" 0.0154004378205375
-195 0.0963287149086352 2 203 "GO:0004674" "protein serine/threonine kinase activity
" 0.324663446543919
97 0.895449318791392 5 5 "GO:0004675" "transmembrane receptor protein serine/threonine kinase activity
" 0.977346417128745
626 0.351163217642905 -1 6 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity
" 0.617338934234895
-73 0.921542374613772 2 5 "GO:0004707" "MAP kinase activity
" 0.977346417128745
-512 0.0229119488188091 2 54 "GO:0004713" "protein tyrosine kinase activity
" 0.12287263024018
-1709 0.00102404943707383 2 10 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity
" 0.0154004378205375
90 0.603860404375328 2 91 "GO:0004725;GO:0004721;GO:0016791" "phosphatase activity
" 0.780860664995169
55 0.940141013697297 3 5 "GO:0004813" "alanine-tRNA ligase activity
" 0.977346417128745
-820 0.265333256081589 3 5 "GO:0004814" "arginine-tRNA ligase activity
" 0.548387870708455
-28 0.890980941664515 4 68 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity
" 0.977346417128745
398 0.280386439561697 4 20 "GO:0004866;GO:0061135" "endopeptidase regulator activity
" 0.554241013798347
960 0.0800649705543176 3 9 "GO:0004867" "serine-type endopeptidase inhibitor activity
" 0.299421054264777
-203 0.384409079705134 -1 50 "GO:0004871" "obsolete signal transducer activity
" 0.639900480240863
-223 0.00839271973698187 3 407 "GO:0004930;GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity
" 0.0654632139484586
-362 0.622589840078394 3 5 "GO:0004950;GO:0001637;GO:0004896;GO:0140375" "chemokine receptor activity
" 0.786884381210192
-547 0.37914936745405 3 7 "GO:0004952" "dopamine neurotransmitter receptor activity
" 0.635017038742059
-455 0.407045266963581 4 9 "GO:0004965;GO:0016917" "GABA receptor activity
" 0.655784113553371
-438 0.451756736902534 7 8 "GO:0004970;GO:0008066;GO:0022824;GO:0022835;GO:0005234;GO:0005231" "ionotropic glutamate receptor activity
" 0.685465537452744
-621 0.3550264200545 5 6 "GO:0004983;GO:0008188" "neuropeptide Y receptor activity
" 0.617338934234895
-210 0.125173594856024 2 148 "GO:0005044;GO:0038024" "scavenger receptor activity
" 0.367587689417888
-946 0.00117838015756143 2 32 "GO:0005085" "guanyl-nucleotide exchange factor activity
" 0.0154004378205375
-387 0.282195974058499 2 21 "GO:0005096;GO:0008047" "enzyme activator activity
" 0.554241013798347
-419 0.164128928930572 3 30 "GO:0005102" "signaling receptor binding
" 0.415907041703954
1058 4.69410400897089e-21 1 223 "GO:0005198" "structural molecule activity
" 6.40745197224526e-19
-199 0.458028523927379 2 38 "GO:0005200" "structural constituent of cytoskeleton
" 0.685465537452744
667 0.0701717025987841 2 20 "GO:0005201" "extracellular matrix structural constituent
" 0.277635866803885
-341 5.92159566830033e-07 1 657 "GO:0005215" "transporter activity
" 2.69432602907665e-05
-446 0.000227954908176125 3 191 "GO:0005216;GO:0015267;GO:0022803" "passive transmembrane transporter activity
" 0.00478705307169862
-1078 3.92173856396308e-06 3 50 "GO:0005230;GO:0015276;GO:0022834" "ligand-gated ion channel activity
" 0.00013382932849524
-605 0.0323450651515532 3 34 "GO:0005244;GO:0022832" "voltage-gated ion channel activity
" 0.163522273821741
-358 0.594430992166713 6 6 "GO:0005245" "voltage-gated calcium channel activity
" 0.780190677218811
-18 0.970631900283142 5 12 "GO:0005247;GO:0005254;GO:0008308;GO:0005253;GO:0015108" "anion channel activity
" 0.981416699175177
-1010 0.0114701130166045 5 17 "GO:0005249" "voltage-gated potassium channel activity
" 0.0745557346079292
-295 0.0818629760299341 2 96 "GO:0005261" "cation channel activity
" 0.302008006164487
-768 0.00519231965526024 4 36 "GO:0005262;GO:0015085" "calcium ion transmembrane transporter activity
" 0.0465886740352816
-313 0.269172068406348 6 34 "GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity
" 0.548387870708455
-299 0.365125432662967 3 25 "GO:0005272" "sodium channel activity
" 0.622995269481187
-562 0.0884683484643953 2 25 "GO:0005319" "lipid transporter activity
" 0.308011629986203
-319 0.215877643424842 2 41 "GO:0005328;GO:0005326" "neurotransmitter:sodium symporter activity
" 0.490842171928799
-440 0.449948061949878 2 8 "GO:0005337" "nucleoside transmembrane transporter activity
" 0.685465537452744
-1118 0.00113773700017426 2 23 "GO:0005343" "organic acid:sodium symporter activity
" 0.0154004378205375
684 0.30866356784384 4 6 "GO:0005351;GO:0005402;GO:0015295;GO:0015144" "carbohydrate:cation symporter activity
" 0.587274707936144
-648 0.37832972817802 4 5 "GO:0005415" "nucleoside:sodium symporter activity
" 0.635017038742059
-1191 0.105480684678331 7 5 "GO:0005432;GO:0015368" "calcium:cation antiporter activity
" 0.33645805521637
-973 0.0615179466885832 2 10 "GO:0005452" "inorganic anion exchanger activity
" 0.258375376092049
-195 0.158217667753291 2 145 "GO:0005506" "iron ion binding
" 0.415321377852389
527 0.267753294338977 6 12 "GO:0005507" "copper ion binding
" 0.548387870708455
-497 9.63269199626524e-09 5 387 "GO:0005509" "calcium ion binding
" 6.57431228745103e-07
-450 0.503310891154053 3 6 "GO:0005520;GO:0019838" "growth factor binding
" 0.715645173359669
-306 0.00936399069219282 5 202 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "nucleoside binding
" 0.0690910664586119
-89 0.86421589922718 3 10 "GO:0005543;GO:0035091" "phospholipid binding
" 0.970909220119424
-92 0.633556258825352 2 73 "GO:0008017;GO:0015631" "tubulin binding
" 0.789775610316535
-482 0.291275822297596 2 13 "GO:0008061" "chitin binding
" 0.567987853480312
331 0.545893071193261 3 9 "GO:0008080;GO:0016407;GO:0016410" "N-acyltransferase activity
" 0.752945846193649
-157 0.551608678530146 3 39 "GO:0008081" "phosphoric diester hydrolase activity
" 0.752945846193649
